Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House,Name,Surname,Age,ID
Muggle-born,5.0,1.0,10,1,0,3.0,5,9,Hufflepuff,Herbert,Garza,16.0,6343343f-cf51-4151-b67f-c4ea9b354534
Muggle-born,3.0,3.0,9,1,2,7.0,0,7,Hufflepuff,Logan,Robles,18.0,99c33981-9742-4812-81e4-f3d6a0ccdf4d
Muggle-born,1.0,10.0,9,6,4,3.0,1,9,Ravenclaw,Allison,Wilkerson,11.0,2974da67-9b72-4b01-9436-a18e2c31cef3
Muggle-born,1.0,0.0,7,7,1,4.0,5,3,Hufflepuff,Michael,Lewis,18.0,6a6487f5-27a9-47e8-a58d-29fc251b48ca
Half-blood,10.0,7.0,5,3,2,7.0,10,4,Gryffindor,Kevin,Hooper,18.0,dcaac7ad-7799-41d9-9e42-3d233a3c1a78
Pure-blood,1.0,4.0,8,5,3,5.0,3,4,Hufflepuff,Jacob,Gill,13.0,d42fd961-ea1f-4963-8844-500dc75e1ed0
Pure-blood,9.0,5.0,2,3,1,6.0,6,8,Gryffindor,Holly,Yang,18.0,134b9fb7-9d82-4253-a53c-604260acb20f
Pure-blood,8.0,3.0,7,3,2,5.0,5,0,Hufflepuff,Hector,Ramirez,11.0,37f8bc91-1aea-4544-94fa-fc791d14a5b4
Muggle-born,7.0,7.0,2,3,4,8.0,5,2,Gryffindor,Carrie,,18.0,96a5ba75-5e12-4309-bae5-b07ad59366d7
Pure-blood,4.0,7.0,8,8,10,7.0,9,0,Slytherin,Gregory,Hines,17.0,56858fff-da82-46ad-a646-1699fe8c0281
Muggle-born,2.0,8.0,4,5,5,1.0,2,8,Ravenclaw,Reginald,Carey,13.0,2a29e90f-9b07-4570-abae-ee51517e5282
Muggle-born,6.0,5.0,7,4,0,0.0,4,6,Hufflepuff,Adam,Fuller,12.0,5567f2aa-d5fb-427f-b240-a12db6cc677a
Pure-blood,9.0,7.0,1,9,5,7.0,7,2,Slytherin,James,Yang,18.0,5ff93b3d-a582-45ae-b2e3-dc0f9d6166cd
Half-blood,4.0,5.0,5,6,4,4.0,3,8,Ravenclaw,Nathan,Simmons,18.0,ea4f2ee2-85e2-4023-a036-af50f9092af4
Pure-blood,8.0,2.0,5,6,5,9.0,7,3,Gryffindor,Jesus,Bridges,12.0,74ca74f8-8cff-4f6d-b938-ee036d76383e
Half-blood,4.0,7.0,8,3,4,1.0,8,6,Ravenclaw,John,Lee,15.0,93acd57d-f167-4321-b6d8-0c999fe2a7d7
Muggle-born,3.0,6.0,1,7,6,6.0,9,4,Slytherin,Colin,Mullen,18.0,533cedf9-268e-46e8-9981-0a88fc075eb2
Half-blood,0.0,6.0,1,10,10,7.0,10,7,Slytherin,Bradley,King,15.0,37a07b8b-e495-4203-8ad2-f27279c0d1f4
Pure-blood,1.0,6.0,5,4,0,3.0,2,9,Ravenclaw,Timothy,Bradley,12.0,dfdc0ccc-b883-4031-9aaa-55b1ea9c16a0
Muggle-born,5.0,4.0,10,2,1,7.0,4,5,Hufflepuff,Kristina,Mullen,11.0,2f3287df-31ae-4ce4-8705-3042fc9761e4
Muggle-born,4.0,0.0,6,9,10,7.0,8,4,Slytherin,Randy,Johnson,15.0,518761fd-d734-47bc-bce5-82b4a5657e35
Half-blood,3.0,9.0,0,1,2,9.0,6,5,Ravenclaw,Michelle,Simmons,17.0,90c6f9f7-8c2f-4998-9f0c-e6849090580e
Half-blood,5.0,9.0,7,3,1,4.0,3,9,Ravenclaw,Suzanne,Collins,12.0,e326139f-b082-41c2-acd0-9f81e5fbec8f
Half-blood,8.0,3.0,6,2,0,5.0,5,2,Gryffindor,Steve,Gill,11.0,14d5b3ef-5caf-4c6c-9109-d9bcfecd46de
Half-blood,10.0,8.0,2,3,3,6.0,9,3,Gryffindor,Julia,Carey,15.0,2fadfe08-becd-4ac5-84d4-fd328925dbfe
Pure-blood,1.0,6.0,3,10,8,7.0,10,8,Slytherin,Alan,Tucker,13.0,6679b5a1-f856-4942-9b80-3fa981ab8dae
Muggle-born,6.0,3.0,2,6,7,4.0,10,4,Slytherin,Michelle,Powers,15.0,fbac6147-701c-434b-a603-70f78ec88a0d
Pure-blood,,10.0,4,2,3,5.0,7,10,Ravenclaw,Heather,Booth,12.0,5a432fbd-f7ba-4c30-8bc4-b46604b297c1
Muggle-born,3.0,8.0,4,1,3,0.0,8,10,Ravenclaw,Timothy,Carey,14.0,5a18a44f-83d1-4f6d-9765-369ced6326db
Pure-blood,7.0,2.0,9,5,0,9.0,10,5,Gryffindor,Joshua,Peterson,13.0,a4fa33e3-283b-4473-ad79-a9f81930cd30
Pure-blood,0.0,2.0,8,7,8,10.0,10,3,Hufflepuff,Savannah,Diggory,18.0,d7e1f16d-af12-4871-acce-d6e234fc91f0
Half-blood,6.0,6.0,5,4,2,5.0,1,5,Ravenclaw,Heather,Hester,16.0,fa623008-32c8-480c-b62c-fa951dc2c0a9
Half-blood,7.0,8.0,4,2,3,2.0,7,10,Ravenclaw,Tammy,Santiago,18.0,ba42a023-2144-47ca-85d6-6fa7d0521623
Half-blood,9.0,6.0,5,2,3,5.0,10,3,Gryffindor,Laura,White,11.0,17e4de8b-09dc-42cc-9168-4c1c72ec7610
Half-blood,6.0,6.0,9,0,5,0.0,0,6,Hufflepuff,John,Simmons,11.0,faefb4d1-0039-43f6-aab0-330d3dc39bfd
Muggle-born,5.0,4.0,2,7,0,4.0,7,7,Gryffindor,Cole,Cain,15.0,b780101f-5c5b-46da-92bc-b32d15e5a350
Pure-blood,8.0,7.0,7,9,6,6.0,9,5,Slytherin,John,Cabrera,12.0,e6184cf5-e1c8-40b0-bbee-7bee0f8c86e2
Muggle-born,5.0,9.0,4,7,0,6.0,6,10,Ravenclaw,Andrew,Johnson,18.0,9533f65d-03f8-48e7-91db-49eca317d1b6
Half-blood,5.0,6.0,7,7,4,1.0,3,7,Hufflepuff,Jason,Gill,15.0,f91fe842-adfd-4343-a4d7-4ef4c23542ab
Pure-blood,2.0,2.0,9,2,2,4.0,1,7,Hufflepuff,Donald,Stewart,,be7bc514-0367-462b-8a54-33c0a7e7653f
Muggle-born,1.0,4.0,6,9,7,8.0,9,7,Slytherin,Darryl,Davis,17.0,cfd4e47e-e479-4997-b9b3-7514bd8fb239
Muggle-born,8.0,4.0,9,8,8,8.0,10,3,Slytherin,John,Morris,16.0,c91ec842-d9dc-489d-ad9c-77502848e909
Half-blood,10.0,4.0,1,0,4,8.0,7,5,Gryffindor,Benjamin,Contreras,18.0,95a35d03-4b01-4c44-a2dd-812bd2acfdb4
Muggle-born,,4.0,2,7,3,8.0,7,4,Gryffindor,Elizabeth,Moreno,12.0,e99c0557-31bd-4445-b117-0ba265031cd4
Muggle-born,5.0,8.0,0,2,1,4.0,7,5,Ravenclaw,Raymond,Riley,16.0,bfa34fc3-c925-4e11-9f77-0a4f64e5e076
Pure-blood,4.0,9.0,6,2,5,3.0,1,7,Ravenclaw,Pamela,Perez,17.0,89b3d9e3-7655-4d20-8698-131d9899ab87
Muggle-born,0.0,6.0,7,3,4,4.0,1,10,Gryffindor,Nicole,Weasley,11.0,aaee88e7-2187-45f1-a8d7-264876d15920
Muggle-born,5.0,7.0,5,6,9,10.0,10,0,Slytherin,Samantha,Jennings,15.0,c519b2dc-87a2-44a1-b77c-9e64bdb3c433
Muggle-born,8.0,,8,3,5,1.0,6,3,Hufflepuff,Erin,Martinez,16.0,8f0d288c-a9f1-4cd4-b553-e0b1d8b4d0d5
Half-blood,5.0,0.0,5,3,2,0.0,4,2,Hufflepuff,Jennifer,Lewis,12.0,5ac54ecb-a2a7-4419-b0f5-5b28d976d93c
Half-blood,6.0,3.0,8,10,9,7.0,8,0,Slytherin,Sally,Franco,11.0,8a4f267e-0917-4b95-8d94-f905f6a2dd69
Muggle-born,1.0,,3,2,1,1.0,4,8,Ravenclaw,Kelly,Bell,14.0,e50da3e8-fa4f-4fe0-81b2-68a7b63e4f0d
Pure-blood,4.0,7.0,9,3,0,,3,4,Hufflepuff,Jamie,Powers,15.0,d46df8f0-78e4-4b7f-a4d4-1d700580de36
Muggle-born,2.0,4.0,1,5,10,8.0,6,8,Slytherin,Joshua,Villanueva,,38263d06-d753-486d-bb12-9a7c3b03d18b
Pure-blood,,4.0,4,7,9,7.0,5,3,Slytherin,Alan,Moreno,14.0,484710d8-84cf-4180-abba-1aa79935bb29
Half-blood,5.0,7.0,3,4,1,5.0,7,8,Ravenclaw,Edward,Russell,13.0,41bbe94f-648a-4e40-9155-dc9c5f8b1f98
Pure-blood,3.0,4.0,5,7,9,7.0,9,5,Slytherin,Amanda,Hines,18.0,fd3641dd-8065-41cd-831f-b2953c7cb3e5
Half-blood,0.0,7.0,9,8,9,6.0,6,3,Slytherin,Matthew,Martinez,,0c600a3b-092a-4235-adf4-5681195b4ac5
Muggle-born,8.0,1.0,7,0,2,10.0,8,1,Gryffindor,Amy,Crane,12.0,e8dfd63f-2b6f-4ca4-94f6-637266f80ec7
Muggle-born,4.0,5.0,10,5,2,3.0,5,8,Hufflepuff,Natalie,Fernandez,13.0,431a02cf-9d7b-4af8-80f5-c41fe71f7e34
Half-blood,6.0,7.0,3,3,4,1.0,2,9,Ravenclaw,Mike,Henderson,18.0,0e3e4ae8-f342-4618-a188-a4f0bf8d7f9c
Muggle-born,4.0,7.0,10,4,2,5.0,0,2,Hufflepuff,Julia,Scott,14.0,f9d92468-6170-4ab0-a41a-9863a6318c50
Muggle-born,5.0,1.0,8,10,10,9.0,9,0,Slytherin,Robert,Burke,16.0,aec0a5f9-9b3f-44e5-8316-e84702287693
Pure-blood,10.0,3.0,5,0,1,10.0,6,2,Gryffindor,Laura,Riley,15.0,d8124029-52ef-48cc-9af4-c828f37f19ce
Pure-blood,8.0,6.0,4,0,4,10.0,5,2,Gryffindor,Daniel,Osborne,17.0,1da2b99a-d247-4b10-b14c-c816b2876965
Half-blood,4.0,7.0,9,0,3,,3,0,Hufflepuff,Andrew,Osborne,11.0,5bc9f393-c1fa-4704-a2c2-97175973b176
Half-blood,,6.0,7,4,3,7.0,0,4,Hufflepuff,Danielle,Johnson,17.0,b90caa51-68ce-40b5-bc1a-32352fd1827f
Muggle-born,7.0,3.0,4,5,2,7.0,8,6,Gryffindor,Sarah,Craig,15.0,ffe0c4b7-346a-46ec-b5f9-00c118557fda
Muggle-born,5.0,8.0,5,3,2,7.0,6,7,Ravenclaw,Joseph,Ramirez,14.0,3ebeca7d-1fec-48ea-8c99-8cd0b0b0dd86
Half-blood,9.0,10.0,2,7,2,2.0,0,8,Ravenclaw,Christina,Villanueva,15.0,d844a181-060d-4549-9bc9-9c29dfe64451
Pure-blood,4.0,8.0,6,7,6,7.0,10,8,Slytherin,Matthew,Williams,15.0,88ca1215-f4bc-4819-9b05-625619ac280e
Pure-blood,2.0,0.0,10,5,5,3.0,0,0,Hufflepuff,Linda,Osborne,15.0,2562710b-eac4-4783-830a-f8ce663eddc5
Pure-blood,2.0,4.0,7,5,1,1.0,4,5,Hufflepuff,Michael,Garza,17.0,417240f9-5c51-4786-b5e0-ea3953dbae17
Half-blood,6.0,4.0,8,5,3,4.0,1,4,Hufflepuff,Jessica,Riley,13.0,94388e9c-fbed-40de-8df6-a496b238e2fd
Pure-blood,7.0,10.0,4,3,2,6.0,8,9,Ravenclaw,Alexandria,Alvarez,13.0,5a54283f-29f6-41e9-af17-3f27be77b2f3
Half-blood,2.0,3.0,9,5,0,,6,7,Hufflepuff,Anthony,Glenn,16.0,1091e00e-ceb6-4d4b-90f7-04cc64ccc36d
Muggle-born,10.0,7.0,1,6,3,6.0,7,7,Gryffindor,Sarah,Ross,12.0,4bbb8920-bfc4-453e-90fd-4ca447e474f2
Pure-blood,8.0,6.0,2,1,2,7.0,10,6,Gryffindor,Kevin,Fernandez,13.0,230ce91e-f73c-40ff-ae36-545d95482b89
Half-blood,10.0,9.0,6,3,2,,7,3,Gryffindor,Carla,Harris,17.0,1df62ecd-d5fc-41b1-80d9-5efa25c5355a
Muggle-born,0.0,4.0,7,5,0,2.0,4,7,Hufflepuff,Bruce,Mullen,12.0,6ca39145-6b27-4f91-b5c6-29f7884b45c7
Half-blood,8.0,10.0,1,1,1,0.0,5,10,Ravenclaw,Steven,Contreras,16.0,a4802f59-7761-4953-b0f5-e86a13338b2a
Muggle-born,6.0,5.0,8,4,2,2.0,5,5,Hufflepuff,Laura,Jennings,18.0,1a22c006-f361-425a-9208-ceb0fcfe34f9
Half-blood,5.0,6.0,3,8,8,8.0,7,1,Slytherin,Craig,Martinez,,d42b24a0-9826-4513-b13f-cfae04d82a73
Half-blood,9.0,6.0,7,9,6,6.0,7,3,Slytherin,David,Fernandez,17.0,fa1ee374-d43b-47ba-baa7-7aecd15f52f3
Muggle-born,,7.0,6,0,0,0.0,7,7,Hufflepuff,Clifford,Jennings,17.0,01f45ce6-8bd9-4de0-9e7b-04ea944bc070
Muggle-born,2.0,3.0,9,7,3,2.0,5,4,Hufflepuff,Jasmin,Pham,13.0,8dc659b8-ef0d-4df4-806f-48b571b7b609
Half-blood,8.0,2.0,9,0,2,3.0,5,5,Hufflepuff,Scott,Green,13.0,60302778-6f53-4c1b-9ce1-7c211254b601
Muggle-born,4.0,8.0,4,9,9,10.0,5,2,Slytherin,Jennifer,Malfoy,12.0,584c79ac-2382-4365-bbff-671e1c13375f
Muggle-born,4.0,4.0,1,10,6,,10,6,Slytherin,Wesley,Robles,18.0,a7591f97-f936-47aa-8051-468044885f79
Muggle-born,9.0,5.0,4,9,0,9.0,10,1,Gryffindor,Evan,Baker,16.0,98c4d28b-6188-4b7e-be91-9102b59de0b5
Pure-blood,10.0,,5,2,3,8.0,9,9,Gryffindor,Joshua,Hines,17.0,2ab2758d-dc59-4cc6-88e5-924ece9437ca
Muggle-born,4.0,3.0,3,8,6,8.0,10,5,Slytherin,Sarah,Craig,18.0,d0735ed9-fcf8-4b51-a163-5cc9505f91d9
Pure-blood,3.0,9.0,2,1,2,5.0,3,10,Ravenclaw,Robert,Norris,14.0,7041ca9e-27ef-4102-a304-172ae6ffc678
Half-blood,2.0,2.0,6,7,10,7.0,8,6,Slytherin,Andrea,Russell,17.0,6ecb0093-5668-4215-a25a-5c0c61d03efc
Muggle-born,5.0,1.0,7,7,6,6.0,8,4,Slytherin,Joseph,Scott,13.0,f6608310-c4c4-427d-ab0d-a9761b57a45e
Pure-blood,2.0,3.0,7,2,0,1.0,9,5,Hufflepuff,Paul,Reyes,15.0,d70085e1-a94c-4a73-a17a-005f475a8a1d
Half-blood,0.0,4.0,2,8,10,7.0,10,9,Slytherin,Edward,Harris,16.0,fb192f5b-9d9f-4ad0-bc4a-1a260b3ad3fd
Pure-blood,0.0,6.0,7,6,0,0.0,0,3,Hufflepuff,Autumn,Riley,17.0,0e06ea9a-7984-44b9-942b-baddbd884bbe
Pure-blood,5.0,6.0,10,4,4,8.0,2,3,Hufflepuff,Carol,Garza,14.0,2f0f8644-44b9-4624-8dea-bbe13a2bc6ab
Half-blood,5.0,1.0,8,5,4,3.0,0,5,Hufflepuff,Joshua,Cabrera,12.0,a29fa084-3353-43e2-91b1-9113781a66d7
Half-blood,8.0,10.0,2,5,5,0.0,7,9,Ravenclaw,Larry,Powers,12.0,091a6465-a45e-4291-8db1-cec24eddc2ef
Muggle-born,3.0,10.0,5,5,1,7.0,2,9,Ravenclaw,James,Jenkins,12.0,bcd5e0a5-0418-47dd-9e11-ec7595a0cbb1
Half-blood,6.0,7.0,3,4,7,2.0,6,7,Ravenclaw,Kyle,Villarreal,18.0,252a0d63-bc2a-4caa-a9c6-a58616647d19
Half-blood,1.0,5.0,9,8,5,0.0,5,0,Hufflepuff,Jonathan,Fuller,14.0,3b19e0f7-4937-4edf-a61a-b58dde1af844
Pure-blood,5.0,1.0,4,5,2,6.0,8,5,Gryffindor,April,Watkins,11.0,32034e99-8a4e-4936-a7e8-0e373f1d6e47
Half-blood,8.0,6.0,5,6,6,6.0,2,5,Hufflepuff,Amanda,Reyes,12.0,87bbe650-dca7-4fde-ae86-4b7ffbc5f610
Pure-blood,9.0,9.0,4,0,6,4.0,0,8,Ravenclaw,Deborah,Gray,,1c91ebfa-d6ef-41bd-bad2-2a0bf542c827
Pure-blood,6.0,0.0,0,5,2,7.0,9,3,Gryffindor,Sharon,Gray,15.0,6a90c8ec-1055-4433-a82c-4c09776a3a8e
Half-blood,5.0,3.0,10,9,2,9.0,1,5,Hufflepuff,John,Morton,12.0,bc050a0d-ee46-4235-8b07-2428d3c271fe
Half-blood,8.0,0.0,5,0,0,8.0,5,5,Gryffindor,Arthur,Green,14.0,6d0e6e91-e418-4aa9-8af5-aa345fa20ea3
Muggle-born,2.0,0.0,8,1,1,3.0,4,8,Hufflepuff,Mark,Ellis,16.0,44cb291b-09f3-4362-94e3-3eba3e75951a
Muggle-born,7.0,10.0,0,5,0,3.0,3,10,Ravenclaw,Jessica,Villanueva,15.0,fdddc991-fcb5-45c8-855d-830d98f749fc
Muggle-born,2.0,3.0,3,10,9,6.0,9,6,Slytherin,Jennifer,Hooper,16.0,0ad1f555-a811-4e40-9156-b4c7f827e54a
Muggle-born,10.0,5.0,5,2,2,7.0,10,2,Gryffindor,Christina,White,12.0,86922605-cc23-4ac4-98f9-3cd7d65e72e2
Muggle-born,2.0,3.0,6,10,10,7.0,9,7,Slytherin,Patricia,Norris,11.0,e81455f0-74b6-4661-9ddb-18219b71cdd3
Pure-blood,7.0,7.0,5,5,1,9.0,10,5,Gryffindor,Amanda,Ross,15.0,99be55bf-c6fc-4a12-bb49-90223111700a
Half-blood,9.0,8.0,2,6,0,,9,4,Gryffindor,Gina,Johnson,,76db107c-7160-4349-87d6-02dc1be270e6
Pure-blood,5.0,2.0,6,7,6,7.0,9,1,Slytherin,Maria,Ryan,15.0,55fd4ced-c410-4d11-9022-ed3d9fffc8de
Muggle-born,7.0,7.0,1,1,2,7.0,10,2,Gryffindor,John,Andrade,11.0,c5891a38-9298-43f3-a7f8-97dcc5df710f
Half-blood,4.0,10.0,4,2,0,3.0,4,8,Ravenclaw,William,Hall,15.0,84d02f75-862e-4f07-b674-a8a35a3dadea
Half-blood,5.0,9.0,3,4,1,6.0,4,10,Ravenclaw,Jill,Villarreal,,be816046-3f5d-4a2f-b4ab-a9556bc54764
Muggle-born,0.0,8.0,1,0,6,4.0,3,10,Ravenclaw,Joseph,Cain,14.0,4ffd04ab-0b11-498f-a8bd-39c1a50f14e5
Pure-blood,9.0,9.0,1,2,3,4.0,8,7,Gryffindor,Melissa,Perez,15.0,6d1a6f53-69db-42f9-881e-7e59707dbf6f
Muggle-born,9.0,9.0,1,6,2,8.0,8,3,Gryffindor,Ryan,Johnson,15.0,cb9711bd-5da1-4f68-af13-1474d685bd0e
Half-blood,0.0,7.0,8,6,5,1.0,5,1,Hufflepuff,Brent,Yang,12.0,57ddef6a-1ac1-4343-b162-bba64598f5f9
Half-blood,5.0,7.0,5,0,2,6.0,6,10,Ravenclaw,David,,17.0,1e7d0350-1073-4189-8be4-6dbc3d8f92a8
Muggle-born,2.0,7.0,2,9,9,8.0,10,0,Slytherin,Victoria,Hartman,18.0,afd04baf-ce9a-4085-82b5-773b88a3eeef
Half-blood,2.0,0.0,1,5,5,10.0,7,7,Slytherin,Michael,Jackson,14.0,884d201e-52f2-4feb-a304-97be78520bcd
Muggle-born,3.0,10.0,0,2,2,0.0,3,9,Ravenclaw,Anthony,Andrade,18.0,a44122d9-1e34-4a9d-84e5-389b547b37e3
Pure-blood,6.0,2.0,4,9,6,6.0,8,7,Slytherin,Michelle,Powers,16.0,32f89370-c3a7-44ba-b526-a74d2cb90b5b
Muggle-born,7.0,3.0,10,4,2,2.0,1,3,Hufflepuff,Sarah,Diggory,17.0,6c86d99a-eab4-4af5-9845-5507edc2fde0
Muggle-born,,7.0,5,7,10,7.0,8,9,Slytherin,Amanda,Jennings,14.0,6fbbf6d6-45ee-4ac5-aeff-5c161062db40
Pure-blood,3.0,2.0,5,5,5,6.0,8,2,Slytherin,Joe,Wilkerson,12.0,7af3918b-4e6c-4437-ab2a-7a0a1fa64cbe
Half-blood,2.0,9.0,6,5,6,2.0,0,9,Ravenclaw,Ethan,Davis,13.0,0536cab2-cfda-4bf9-b3c6-26afff97df37
Pure-blood,0.0,6.0,1,5,8,10.0,10,2,Slytherin,Lawrence,Bridges,,1afa7c17-b863-4dc6-babb-3f83febb2832
Half-blood,7.0,5.0,6,7,3,9.0,10,1,Gryffindor,William,Norris,16.0,b590a799-0e16-4c9f-bf8d-2ae43d48ae8a
Muggle-born,4.0,4.0,9,10,8,8.0,10,0,Slytherin,Phillip,Craig,18.0,29e835f4-b3e0-4ae6-a94d-a654e77057e7
Half-blood,,2.0,6,2,3,10.0,9,3,Gryffindor,Eric,Gill,11.0,eab6776e-4313-49de-816e-feb9345e95cb
Muggle-born,7.0,2.0,7,3,0,10.0,8,2,Gryffindor,Kathryn,Beard,11.0,43770607-698f-41f5-bfd9-c4c5b9545a22
Half-blood,,6.0,1,2,6,0.0,2,10,Ravenclaw,Cynthia,Taylor,12.0,7c75d2bc-afed-421d-9bbc-49d272802159
Pure-blood,2.0,6.0,10,2,4,3.0,5,3,Hufflepuff,Tammy,Bridges,11.0,0c61c06a-d8f5-4124-b70b-e7cadfbce7d2
Half-blood,9.0,2.0,0,2,3,,9,5,Gryffindor,Michelle,Hester,18.0,a7051f8d-7fb3-495c-a64a-e005868e82ac
Half-blood,7.0,6.0,7,8,1,6.0,6,0,Hufflepuff,Paul,Craig,12.0,33b3cc0b-21ba-457c-8bb7-905658ac1f0f
Muggle-born,10.0,4.0,5,2,5,,8,7,Gryffindor,Nicole,Collins,14.0,e9fecc15-3cdb-4804-88d8-e53816b12898
Muggle-born,3.0,8.0,3,4,3,1.0,5,10,Ravenclaw,Mary,Martinez,,41f6c6c9-f3b4-4e7f-914c-65180c021b4a
Half-blood,4.0,7.0,10,1,4,5.0,3,3,Hufflepuff,Michael,Russell,18.0,2f3f9e6e-16b4-4ba7-8b56-784f84a54cf0
Muggle-born,4.0,,7,10,8,8.0,9,5,Slytherin,Ashley,White,17.0,afecfbec-621e-497e-80ed-d7ddc5e97314
Half-blood,3.0,6.0,9,8,3,3.0,9,3,Hufflepuff,Jason,Johnson,16.0,4217be25-0f51-40d7-9d0b-353107975b5f
Half-blood,7.0,9.0,0,4,0,7.0,8,7,Gryffindor,David,Jackson,14.0,f1977a9c-be4d-4a26-82e8-5ec183310c4e
Pure-blood,10.0,8.0,7,8,3,6.0,8,5,Gryffindor,Gregory,Mccoy,12.0,a499ffcf-6d48-44fa-aa15-b033d77da218
Pure-blood,2.0,2.0,2,8,7,6.0,8,9,Slytherin,Roger,Perez,18.0,22c4e73b-3594-4be3-804c-1e9f6a3dc42a
Muggle-born,8.0,5.0,10,3,4,7.0,7,7,Hufflepuff,Jason,Alvarez,15.0,32f3f955-6fd5-4c50-86c5-17d0d994fcd8
Pure-blood,9.0,10.0,8,8,4,5.0,2,8,Ravenclaw,Carmen,Morse,14.0,ecc156f2-80c9-4ba0-bf46-dfc970e98cdf
Pure-blood,3.0,6.0,8,5,4,6.0,1,8,Ravenclaw,Howard,Santiago,11.0,b192b0aa-3b8a-4d8f-8139-69bbe43e4135
Pure-blood,1.0,2.0,7,0,2,6.0,3,8,Hufflepuff,Isabella,Craig,17.0,a0919eff-85c2-42c5-9f4d-482a85b19a3c
Muggle-born,6.0,10.0,4,3,1,3.0,0,7,Ravenclaw,Megan,Jenkins,17.0,fd5985d4-8aa6-4be7-98f3-de50aa9e127e
Half-blood,7.0,4.0,7,4,2,1.0,7,5,Hufflepuff,Sarah,Ramirez,18.0,5341331c-56e5-40d6-b72c-34f44083ad60
Pure-blood,4.0,2.0,10,6,2,2.0,7,1,Hufflepuff,Corey,Scott,12.0,3fc333e0-4885-416e-8721-ddd8acfe1514
Half-blood,4.0,4.0,4,7,10,5.0,7,4,Slytherin,Paula,Pham,15.0,2aa69afb-ec95-40ae-8c61-ef30b8716f4e
Half-blood,3.0,3.0,4,10,8,7.0,10,5,Hufflepuff,Tracy,Diggory,18.0,7ed715cb-9482-46a4-9b94-5e9f910dd389
Pure-blood,6.0,4.0,3,6,1,6.0,8,9,Gryffindor,Douglas,Collins,13.0,fe753cdc-1f27-4894-90ec-515ee47db0e8
Pure-blood,2.0,5.0,2,4,2,5.0,3,6,Ravenclaw,Donna,Ramirez,17.0,db82fac9-406a-4a5a-bc4e-bfa51e51b693
Half-blood,3.0,6.0,7,3,0,4.0,0,3,Hufflepuff,Brandon,Crane,13.0,11a185b1-6808-469b-998b-dd6ed9d08b6d
Half-blood,8.0,5.0,3,4,1,6.0,10,2,Gryffindor,Michael,Ellis,18.0,bb2d10a0-80f7-48ff-93b2-b3637e795f03
Pure-blood,4.0,5.0,10,2,4,1.0,1,1,Hufflepuff,Isaac,Stewart,12.0,a635c355-140c-482b-8916-514b21273516
Pure-blood,3.0,9.0,1,2,2,2.0,2,8,Ravenclaw,Kimberly,Wilkerson,12.0,a9d3c9cd-26e6-433b-b943-7d71e527528d
Muggle-born,,8.0,2,4,3,4.0,0,10,Ravenclaw,Stephen,,13.0,7fc642da-118c-4d87-9f43-0355a7ac6c88
Half-blood,9.0,5.0,9,5,0,6.0,1,5,Hufflepuff,Gary,Davis,16.0,bc6066e5-39e7-46a8-90a8-56cba64bf19c
Muggle-born,1.0,0.0,7,1,2,5.0,0,4,Hufflepuff,Jacob,Carey,12.0,d9fbc822-7181-4d22-a93d-4597e9c20204
Pure-blood,6.0,4.0,3,9,10,9.0,10,0,Slytherin,Steven,Henderson,15.0,b82538a5-2677-4e55-a640-905a5255452f
Pure-blood,3.0,2.0,8,5,6,0.0,6,3,Hufflepuff,Blake,Gray,13.0,57a1164e-a319-4178-866f-37bddcf105a5
Half-blood,3.0,7.0,1,5,7,9.0,8,2,Slytherin,Rachel,,14.0,ee62b156-a232-4a5d-8aaf-5f962555e014
Pure-blood,3.0,2.0,10,3,4,2.0,3,2,Hufflepuff,David,Robles,18.0,02e16eb1-56fe-4c36-b31c-91982da0983e
Half-blood,2.0,6.0,10,8,5,2.0,2,4,Ravenclaw,Lawrence,Lovegood,15.0,b01678fa-7cae-4a1e-b5e7-65cf7027d0a3
Half-blood,3.0,3.0,1,9,9,5.0,10,2,Slytherin,Cheryl,Villarreal,17.0,db134f19-375c-438a-bccb-ce3723b22360
Muggle-born,7.0,5.0,10,1,6,5.0,1,5,Hufflepuff,Brandy,Wilkerson,18.0,369c1ee8-c356-40b6-8017-bb06c4c75f9c
Pure-blood,3.0,7.0,3,2,3,1.0,8,9,Ravenclaw,Luis,Shaw,12.0,52bbb7f7-c9e8-40fb-97e3-62a78901fa93
Muggle-born,6.0,5.0,9,9,9,8.0,6,5,Slytherin,Jacqueline,Powers,17.0,dac149e8-0b3f-4e27-babf-5452e310a185
Pure-blood,10.0,7.0,6,6,1,,10,6,Gryffindor,James,Bridges,14.0,2eb01e04-d6ae-4445-9806-749b21e78dc9
Half-blood,3.0,7.0,6,2,5,3.0,6,7,Slytherin,Kimberly,Malfoy,12.0,365a8a61-743d-41d6-9e23-efcb5d02a7a6
Half-blood,10.0,5.0,1,5,3,10.0,10,3,Gryffindor,Jill,Wilkerson,15.0,71c87b6c-eab5-462d-b71b-04737cbf2519
Pure-blood,2.0,8.0,8,4,2,2.0,3,3,Hufflepuff,Debbie,Sherman,,6903737b-d865-45dd-81c4-4092ff6d933d
Muggle-born,7.0,8.0,4,1,4,1.0,4,9,Ravenclaw,Shannon,Morris,15.0,7ce50d3b-592c-4d6e-913b-0d3bf39c0683
